performance_id,week_number,fantasy_points,player_id,last_change_date
163,2023_1,14.9,132,2024-4-22
164,2023_2,29.5,132,2024-4-22
165,2023_1,23.2,133,2024-4-22
166,2023_2,28.4,133,2024-4-22
167,2023_1,17.2,134,2024-4-22
168,2023_2,20.4,134,2024-4-22
169,2023_1,19.8,135,2024-4-22
170,2023_2,27.9,135,2024-4-22
171,2023_1,25.6,136,2024-4-22
172,2023_2,12.5,136,2024-4-22
173,2023_1,21.7,137,2024-4-22
174,2023_2,30.5,137,2024-4-22
175,2023_1,15.6,138,2024-4-22
176,2023_2,24.3,138,2024-4-22
177,2023_1,23.0,139,2024-4-22
178,2023_2,26.2,139,2024-4-22
179,2023_1,18.5,140,2024-4-22
180,2023_2,21.1,140,2024-4-22
181,2023_1,14.3,141,2024-4-22
182,2023_2,17.8,141,2024-4-22
183,2023_1,11.4,142,2024-4-22
184,2023_2,8.5,142,2024-4-22
185,2023_1,15.9,143,2024-4-22
186,2023_2,6.5,143,2024-4-22
187,2023_1,18.2,144,2024-4-22
188,2023_2,10.3,144,2024-4-22
189,2023_1,9.8,145,2024-4-22
190,2023_2,13.4,145,2024-4-22
191,2023_1,16.5,146,2024-4-22
192,2023_2,7.9,146,2024-4-22
193,2023_1,12.2,147,2024-4-22
194,2023_2,21.5,147,2024-4-22
195,2023_1,20.2,148,2024-4-22
196,2023_2,9.7,148,2024-4-22
197,2023_1,19.8,149,2024-4-22
198,2023_2,4.5,149,2024-4-22
199,2023_1,14.6,150,2024-4-22
200,2023_2,11.3,150,2024-4-22
201,2023_1,10.5,151,2024-4-22
202,2023_2,18.2,151,2024-4-22
203,2023_1,6.9,152,2024-4-22
204,2023_2,20.4,152,2024-4-22
205,2023_1,13.0,153,2024-4-22
206,2023_2,17.1,153,2024-4-22
207,2023_1,8.7,154,2024-4-22
208,2023_2,16.2,154,2024-4-22
209,2023_1,10.2,155,2024-4-22
210,2023_2,22.5,155,2024-4-22
211,2023_1,19.0,156,2024-4-22
212,2023_2,5.7,156,2024-4-22
213,2023_1,12.8,157,2024-4-22
214,2023_2,19.3,157,2024-4-22
215,2023_1,7.4,158,2024-4-22
216,2023_2,15.8,158,2024-4-22
217,2023_1,16.9,159,2024-4-22
218,2023_2,14.2,159,2024-4-22
219,2023_1,11.1,160,2024-4-22
220,2023_2,13.5,160,2024-4-22
221,2023_1,15.5,161,2024-4-22
222,2023_2,17.6,161,2024-4-22
223,2023_1,12.3,162,2024-4-22
224,2023_2,22.5,162,2024-4-22
225,2023_1,20.1,163,2024-4-22
226,2023_2,8.9,163,2024-4-22
227,2023_1,18.4,164,2024-4-22
228,2023_2,10.7,164,2024-4-22
229,2023_1,9.8,165,2024-4-22
230,2023_2,13.6,165,2024-4-22
231,2023_1,16.2,166,2024-4-22
232,2023_2,7.5,166,2024-4-22
233,2023_1,11.9,167,2024-4-22
234,2023_2,21.0,167,2024-4-22
235,2023_1,19.7,168,2024-4-22
236,2023_2,9.3,168,2024-4-22
237,2023_1,18.9,169,2024-4-22
238,2023_2,5.5,169,2024-4-22
239,2023_1,14.6,170,2024-4-22
240,2023_2,11.2,170,2024-4-22
241,2023_1,10.4,171,2024-4-22
242,2023_2,18.8,171,2024-4-22
243,2023_1,6.7,172,2024-4-22
244,2023_2,20.1,172,2024-4-22
245,2023_1,12.9,173,2024-4-22
246,2023_2,17.2,173,2024-4-22
247,2023_1,8.5,174,2024-4-22
248,2023_2,15.9,174,2024-4-22
249,2023_1,10.1,175,2024-4-22
250,2023_2,22.7,175,2024-4-22
251,2023_1,19.3,176,2024-4-22
252,2023_2,5.8,176,2024-4-22
253,2023_1,12.6,177,2024-4-22
254,2023_2,19.4,177,2024-4-22
255,2023_1,7.2,178,2024-4-22
256,2023_2,15.1,178,2024-4-22
257,2023_1,16.8,179,2024-4-22
258,2023_2,14.3,179,2024-4-22
259,2023_1,11.0,180,2024-4-22
260,2023_2,13.7,180,2024-4-22
261,2023_1,23.1,181,2024-4-22
262,2023_2,12.4,181,2024-4-22
263,2023_1,18.3,182,2024-4-22
264,2023_2,5.5,182,2024-4-22
265,2023_1,20.4,183,2024-4-22
266,2023_2,14.6,183,2024-4-22
267,2023_1,19.2,184,2024-4-22
268,2023_2,22.1,184,2024-4-22
269,2023_1,10.2,185,2024-4-22
270,2023_2,15.3,185,2024-4-22
271,2023_1,17.4,186,2024-4-22
272,2023_2,8.7,186,2024-4-22
273,2023_1,11.5,187,2024-4-22
274,2023_2,19.0,187,2024-4-22
275,2023_1,16.8,188,2024-4-22
276,2023_2,21.3,188,2024-4-22
277,2023_1,13.7,189,2024-4-22
278,2023_2,24.1,189,2024-4-22
279,2023_1,9.8,190,2024-4-22
280,2023_2,17.9,190,2024-4-22
281,2023_1,22.5,191,2024-4-22
282,2023_2,6.5,191,2024-4-22
283,2023_1,12.3,192,2024-4-22
284,2023_2,20.8,192,2024-4-22
285,2023_1,15.1,193,2024-4-22
286,2023_2,7.6,193,2024-4-22
287,2023_1,14.2,194,2024-4-22
288,2023_2,18.4,194,2024-4-22
289,2023_1,10.9,195,2024-4-22
290,2023_2,16.5,195,2024-4-22
291,2023_1,19.7,196,2024-4-22
292,2023_2,5.9,196,2024-4-22
293,2023_1,13.4,197,2024-4-22
294,2023_2,23.2,197,2024-4-22
295,2023_1,11.1,198,2024-4-22
296,2023_2,21.5,198,2024-4-22
297,2023_1,18.0,199,2024-4-22
298,2023_2,9.6,199,2024-4-22
299,2023_1,17.3,200,2024-4-22
300,2023_2,12.9,200,2024-4-22
301,2023_1,8.5,201,2024-4-22
302,2023_2,21.3,201,2024-4-22
303,2023_1,15.2,202,2024-4-22
304,2023_2,6.8,202,2024-4-22
305,2023_1,12.7,203,2024-4-22
306,2023_2,19.9,203,2024-4-22
307,2023_1,14.3,204,2024-4-22
308,2023_2,5.5,204,2024-4-22
309,2023_1,20.1,205,2024-4-22
310,2023_2,11.4,205,2024-4-22
311,2023_1,9.6,206,2024-4-22
312,2023_2,18.2,206,2024-4-22
313,2023_1,17.0,207,2024-4-22
314,2023_2,7.9,207,2024-4-22
315,2023_1,13.8,208,2024-4-22
316,2023_2,22.5,208,2024-4-22
317,2023_1,10.5,209,2024-4-22
318,2023_2,16.7,209,2024-4-22
319,2023_1,8.9,210,2024-4-22
320,2023_2,20.3,210,2024-4-22
321,2023_1,19.4,211,2024-4-22
322,2023_2,12.1,211,2024-4-22
323,2023_1,6.7,212,2024-4-22
324,2023_2,21.8,212,2024-4-22
325,2023_1,18.6,213,2024-4-22
326,2023_2,4.5,213,2024-4-22
327,2023_1,11.9,214,2024-4-22
328,2023_2,17.4,214,2024-4-22
329,2023_1,15.7,215,2024-4-22
330,2023_2,10.2,215,2024-4-22
331,2023_1,7.3,216,2024-4-22
332,2023_2,22.1,216,2024-4-22
333,2023_1,16.2,217,2024-4-22
334,2023_2,9.5,217,2024-4-22
335,2023_1,12.0,218,2024-4-22
336,2023_2,18.9,218,2024-4-22
337,2023_1,14.5,219,2024-4-22
338,2023_2,13.8,219,2024-4-22
339,2023_1,20.4,220,2024-4-22
340,2023_2,6.6,220,2024-4-22
341,2023_1,12.5,221,2024-4-22
342,2023_2,18.3,221,2024-4-22
343,2023_1,15.2,222,2024-4-22
344,2023_2,9.8,222,2024-4-22
345,2023_1,14.7,223,2024-4-22
346,2023_2,11.4,223,2024-4-22
347,2023_1,8.5,224,2024-4-22
348,2023_2,16.9,224,2024-4-22
349,2023_1,17.2,225,2024-4-22
350,2023_2,7.3,225,2024-4-22
351,2023_1,13.8,226,2024-4-22
352,2023_2,19.5,226,2024-4-22
353,2023_1,9.6,227,2024-4-22
354,2023_2,12.1,227,2024-4-22
355,2023_1,16.4,228,2024-4-22
356,2023_2,5.5,228,2024-4-22
357,2023_1,20.5,229,2024-4-22
358,2023_2,10.2,229,2024-4-22
359,2023_1,11.9,230,2024-4-22
360,2023_2,18.7,230,2024-4-22
361,2023_1,17.8,231,2024-4-22
362,2023_2,6.7,231,2024-4-22
363,2023_1,15.3,232,2024-4-22
364,2023_2,13.2,232,2024-4-22
365,2023_1,4.5,233,2024-4-22
366,2023_2,16.8,233,2024-4-22
367,2023_1,19.1,234,2024-4-22
368,2023_2,8.9,234,2024-4-22
369,2023_1,7.4,235,2024-4-22
370,2023_2,14.5,235,2024-4-22
371,2023_1,12.0,236,2024-4-22
372,2023_2,19.9,236,2024-4-22
373,2023_1,10.6,237,2024-4-22
374,2023_2,17.1,237,2024-4-22
375,2023_1,16.2,238,2024-4-22
376,2023_2,5.8,238,2024-4-22
377,2023_1,13.4,239,2024-4-22
378,2023_2,20.2,239,2024-4-22
379,2023_1,14.1,240,2024-4-22
380,2023_2,6.9,240,2024-4-22
381,2023_1,12.5,241,2024-4-22
382,2023_2,18.3,241,2024-4-22
383,2023_1,15.2,242,2024-4-22
384,2023_2,9.8,242,2024-4-22
385,2023_1,14.7,243,2024-4-22
386,2023_2,11.4,243,2024-4-22
387,2023_1,8.5,244,2024-4-22
388,2023_2,16.9,244,2024-4-22
389,2023_1,17.2,245,2024-4-22
390,2023_2,7.3,245,2024-4-22
391,2023_1,13.8,246,2024-4-22
392,2023_2,19.5,246,2024-4-22
393,2023_1,9.6,247,2024-4-22
394,2023_2,12.1,247,2024-4-22
395,2023_1,16.4,248,2024-4-22
396,2023_2,5.5,248,2024-4-22
397,2023_1,20.5,249,2024-4-22
398,2023_2,10.2,249,2024-4-22
399,2023_1,11.9,250,2024-4-22
400,2023_2,18.7,250,2024-4-22
401,2023_1,17.8,251,2024-4-22
402,2023_2,6.7,251,2024-4-22
403,2023_1,15.3,252,2024-4-22
404,2023_2,13.2,252,2024-4-22
405,2023_1,4.5,253,2024-4-22
406,2023_2,16.8,253,2024-4-22
407,2023_1,19.1,254,2024-4-22
408,2023_2,8.9,254,2024-4-22
409,2023_1,7.4,255,2024-4-22
410,2023_2,14.5,255,2024-4-22
411,2023_1,12.0,256,2024-4-22
412,2023_2,19.9,256,2024-4-22
413,2023_1,10.6,257,2024-4-22
414,2023_2,17.1,257,2024-4-22
415,2023_1,16.2,258,2024-4-22
416,2023_2,5.8,258,2024-4-22
417,2023_1,13.4,259,2024-4-22
418,2023_2,20.2,259,2024-4-22
419,2023_1,14.1,260,2024-4-22
420,2023_2,6.9,260,2024-4-22
